Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
The Museum of Failures,"Thrity Umrigar, Thrity Umrigar","Fiction, India, Contemporary, Audiobook, Book Club, Literary Fiction, Family",4.11,"14,145 ratings","1,648 reviews","An immersive story about family secrets and the power of forgiveness from the bestselling author of Reese’s Book Club pick  Honor

When Remy Wadia left India for the United States, he carried his resentment of his cold and inscrutable mother with him and has kept his distance from her. Years later, he returns to Bombay, planning to adopt a baby from a young pregnant girl—and to see his elderly mother again before it is too late. She is in the hospital, has stopped talking, and seems to have given up on life.

Struck with guilt for not realizing just how ill she had become, Remy devotes himself to helping her recover and return home. But one day in her apartment he comes upon an old photograph that demands explanation. As shocking family secrets surface, Remy finds himself reevaluating his entire childhood and his relationship to his parents, just as he is on the cusp of becoming a parent himself. Can Remy learn to forgive others for their human frailties, or is he too wedded to his sorrow and anger over his parents’ long-ago decisions?

Surprising, devastating, and ultimately a story of redemption and healing still possible between a mother and son,  The Museum of Failures is a tour de force from one of our most elegant storytellers about the mixed bag of love and regret. It is also, above all, a much-needed reminder that forgiveness comes from empathy for others.",https://www.goodreads.com/book/show/75593884-the-museum-of-failures
"Revolution 2020: Love, Corruption, Ambition","Chetan Bhagat, Chetan Bhagat","Fiction, Romance, Indian Literature, India, Novels, Contemporary, Young Adult, Drama, Love, Love Story",3.12,"65,776 ratings","2,497 reviews","Book Summary of Revolution 2020 Once upon a time, in small-town India, there lived two intelligent boys. One wanted to use his intelligence to make money. One wanted to use his intelligence to create a revolution. The problem was, they both loved the same girl. Welcome to Revolution 2020. A story about childhood friends Gopal, Raghav and Aarti who struggle to find success and love in Varanasi. However, it isn't easy to achieve this in an unfair society that rewards the corrupt. As Gopal gives in to the system, and Raghav fights it, who will win? From the bestselling author of Five Point Someone, one night @ the call center, The Three Mistakes of My Life and 2 States, comes another gripping tale from the heartland of India. Are you ready for the revolution?",https://www.goodreads.com/book/show/12615008-revolution-2020
Indianomix: Making Sense of Modern India,"Vivek Dehejia, Rupa Subramanya, Vivek Dehejia","India, Economics, Nonfiction, Indian Literature",3.26,212 ratings,36 reviews,BOOKS,https://www.goodreads.com/book/show/16560124-indianomix
"Cut-outs, Caste and Cine Stars","Vaasanthi, Vaasanthi","Nonfiction, Politics, History",3.83,115 ratings,24 reviews,"Tamil Nadu is a state very different from the rest of India, both culturally and historically. It has retained a fundamentally separate identity for itself in language and caste structure, and this is most evident in its politics. Cut-outs, Caste and Cine Stars: The Word of Tamil Politics tells a political story that has all the elements of a blockbuster film, where ironies and larger-than-life characters abound: Periyar, a Kannada-speaker, who introduced the notions of Tamil self-respect and regional pride, yet dismissed Tamil as 'a barbaric language'; the matinee idol MGR, a Malayalee born in Sri Lanka, who became Tamil Nadu's most popular mass leader; the Dravidian movement which, by its own ideology, should have helped the Dalits but has instead supported only the upwardly mobile middle groups; and parties that rose to power by propagating anti-Hindi and anti-Brahmin sentiments but have now allied themselves with the BJP. It is fitting that this reel-like scenario is presently dominated by the electoral politics of Karunanidhi and Jayalalithaa, one a scriptwriter and the other a former actress. Well-known writer and journalist Vaasanthi has observed the dramatis personae in this epic drama at close quarters for a decade. Now updated with an additional chapter on the war of succession Cut-outs, Caste and Cine Stars offers an objective and insightful view of a political world that is both fascinating and perplexing.",https://www.goodreads.com/book/show/25687805-cut-outs-caste-and-cine-stars
"The Indian Slow Cooker: 50 Healthy, Easy, Authentic Recipes","Anupy Singla, Anupy Singla","Cookbooks, Cooking, Food, Reference, Nonfiction, India",3.98,718 ratings,63 reviews,"This unique guide to preparing Indian food using classic slow-cooker techniques features more than 50 recipes, beautifully illustrated with full-color photography throughout. These great recipes take advantage of the slow cooker's ability to keep food moist through its long cooking cycle, letting readers create dishes with far less oil and saturated fat than in traditional recipes. Anupy Singla shows the busy, harried family that cooking healthy is simple and that cooking Indian is just a matter of understanding a few key spices. Her ""Indian Spices 101"" chapter introduces readers to the mainstay spices of an Indian kitchen, as well as how to store, prepare, and combine them in different ways. Among her 50 recipes are all the classics — specialties like dal, palak paneer, and gobi aloo — and also dishes like butter chicken, keema, and much more. The result is a terrific introduction to making healthful, flavorful Indian food using the simplicity and convenience of the slow cooker.",https://www.goodreads.com/book/show/8906419-the-indian-slow-cooker
Another Canon: Indian Texts and Traditions in English,"Makarand R. Paranjape, Makarand R. Paranjape",N/A,4.33,3 ratings,0 reviews,"'Another Canon: Indian Texts and Traditions' in English traces the development of Indian English literary and textual practice over a period of seven decades, focussing on classic texts which have fallen beyond the scope of the established canon. Central to this volume is an inquiry into the nature of Indian modernity. Through careful and path-breaking readings of such important writers as Mulk Raj Anand, R. K. Narayan, Raja Rao, M. Ananthanarayanan, Nayantara Sahgal, Anita Desai, Bharati Mukherjee, U. R. Anantha Murthy, Kiran Nagarkar, Vikram Seth, and Upamanyu Chatterjee, the author constructs what may be called 'another canon, ' shedding new light on literary and critical practice in post-colonial India.

Useful both to specialists and general readers, these engaging and insightful interpretations of key Indian texts enhance our understanding of the making of modern Indian consciousness and culture. In addition, the book also offers crucial theoretical insights into the distinguishing features of the novel in India, especially of the fiction of the 1980s and 1990s.",https://www.goodreads.com/book/show/16703926-another-canon
Wrestling the Dragon: In Search of the Boy Lama Who Defied China,"Gaby Naher, Gaby Naher","Biography, Buddhism, Nonfiction",3.35,26 ratings,4 reviews,"Book by Naher , Gaby",https://www.goodreads.com/book/show/2352064.Wrestling_the_Dragon
My Family and Other Saints,"Kirin Narayan, Kirin Narayan","Religion, India, Memoir",3.78,87 ratings,12 reviews,"In 1969, young Kirin Narayan’s older brother, Rahoul, announced that he was quitting school and leaving home to seek enlightenment with a guru. From boyhood, his restless creativity had continually surprised his family, but his departure shook up everyone— especially Kirin, who adored her high-spirited, charismatic brother.

A touching, funny, and always affectionate memoir, My Family and Other Saints traces the reverberations of Rahoul's spiritual journey through the entire family. As their beachside Bombay home becomes a crossroads for Westerners seeking Eastern enlightenment, Kirin’s sari-wearing American mother wholeheartedly embraces ashrams and gurus, adopting her son’s spiritual quest as her own. Her Indian father, however, coins the term “urug”—guru spelled backward—to mock these seekers, while young Kirin, surrounded by radiant holy men, parents drifting apart, and a motley of young, often eccentric Westerners, is left to find her own answers. Deftly recreating the turbulent emotional world of her bicultural adolescence, but overlaying it with the hard-won understanding of adulthood, Narayan presents a large, rambunctious cast of quirky characters. Throughout, she brings to life not just a family but also a time when just about everyone, it seemed, was consumed by some sort of spiritual quest.",https://www.goodreads.com/book/show/1403391.My_Family_and_Other_Saints
India Becoming: A Portrait of Life in Modern India,"Akash Kapur, Akash Kapur","India, Nonfiction, Travel, History, Asia, Social Change, Politics, Memoir, The World, Sociology",3.68,535 ratings,78 reviews,"A New Republic Editors' and Writers' Pick 2012 A New Yorker Contributors' Pick 2012
A Newsweek ""Must Read on Modern India""

“For people who savored Katherine Boo’s Behind the Beautiful Forevers .”—Evan Osnos, newyorker.com

From the author of Better To Have Gone, a portrait of the incredible change and economic development of modern India, and of social and national transformation there told through individual lives

Raised in India, and educated in the U.S., Akash Kapur returned to India in 2003 to raise a family. What he found was an ancient country in transition. In search of the life that he and his wife want to lead, he meets an array of Indians who teach him much about the realities of this changed an old landowner sees his rural village destroyed by real estate developments, and crime and corruption breaking down the feudal authority; a 21-year-old single woman and a 35-year-old divorcee exploring the new cultural allowances for women; and a young gay man coming to terms with his sexual identity – something never allowed him a generation ago.
As Akash and his wife struggle to find the right balance between growth and modernity and the simplicity and purity they had known from the Indian countryside a decade ago, they ultimately find a country that “has begun to dream.” But also one that may be moving away too quickly from the valuable ways in which it is different.",https://www.goodreads.com/book/show/12507455-india-becoming
Asian Journals: India and Japan,"Joseph Campbell, David Kudler, Antony Van Couvering, Joseph Campbell","Mythology, Nonfiction, Travel, History, Biography, Philosophy, Memoir",3.72,32 ratings,10 reviews,"At the beginning of his career, Joseph Campbell developed a lasting fascination with the cultures of the Far East, and explorations of Buddhist and Hindu philosophy later became recurring motifs in his vast body of work. However, Campbell had to wait until middle age to visit the lands that inspired him so deeply. In 1954, he took a sabbatical from his teaching position and embarked on a yearlong voyage through India, Thailand, Cambodia, Burma, Hong Kong, Taiwan, and finally, Japan. The Asian Journals are an edited version of Campbell's own travel diary, a day-to-day record of the people he met and the historical places he visited on his trek through Asia. Along the way he enlivens the narrative with his own musings on culture, religion, myth, and politics, describing both the trivial and the sublime. As always, Campbell's keen intellect and boundless curiosity shine through in his lucid prose. From these pages, Campbell enthusiasts will come away with a deeper understanding of the man, his work, and his enduring legacy.",https://www.goodreads.com/book/show/34013771-asian-journals
